player,attempts,completions,progressive,accuracy,progressive_ratio,shots,goals,shot_conversion
José Martín Cáceres Silva,7.308533261399662,6.118877887239912,1.636566958529057,0.8372237860032783,0.2674619413376258,0.01908120795424801,0.0,0.0
Otar Kakabadze,42.418527870882585,30.825427137933424,8.120101335570372,0.7266972402192432,0.2634221838755274,0.24605504694820088,0.0,0.0
Orlando Moisés Galo Calderón,17.466626808306078,12.97351009447872,3.4966511867676755,0.7427599064697081,0.2695223699140439,0.4977522481416203,0.0,0.0
Josip Šutalo,39.47062148557146,37.66124630131778,7.011447171587127,0.9541589385686491,0.186171405892688,0.0,0.0,0.0
Marko Arnautović,13.839495359278894,10.179812347737826,0.8887589463364771,0.7355623946875072,0.08730602450977189,1.2481954221195375,0.2783386540684839,0.22299284962593613
Johan Andrés Mojica Palacio,83.75442506980912,67.79620961269059,17.957519172331835,0.8094642110692374,0.26487497272960253,0.25505827008148924,0.0,0.0
Oleksandr Zinchenko,47.7304752952686,40.77215100140875,9.860431397657079,0.8542163208974035,0.24184231529301417,0.30797827778144354,0.031076604803702085,0.10090518405247907
Jack Grealish,6.272807227975301,5.454495108144309,0.6841277618048046,0.8695461074937063,0.12542458068819387,0.146130588983149,0.08189642007552617,0.5604331074376907
Youssouf Ndayishimiye,7.664245852398467,7.025558698031927,2.1289571812217942,0.9166666666666665,0.30303030303030276,0.31934357718326906,0.0,0.0
Georgiy Sudakov,28.97597720095733,24.80130655943902,6.646475116861416,0.8559264934340028,0.2679889102185975,2.212231112488631,0.0,0.0
João Pedro Cavaco Cancelo,73.46895870100226,63.128305650219666,14.1010640774663,0.8592514004061754,0.223371496070198,0.4972474960335426,0.0008470930593372603,0.0017035642534037382
Antoine Griezmann,84.58959933007002,69.85478194500384,14.083609130036518,0.8258081667041515,0.2016126704271218,3.721133146629591,0.4084844944590533,0.10977422155104483
Marvin Friedrich,12.621568163201017,11.321644650079222,2.7359944205155813,0.8970077650959566,0.24166051002991307,0.5555450145566747,0.0,0.0
Víctor Gustavo Velázquez Ramos,28.901980867442013,18.713481659536665,3.2416236595989454,0.6474809372189897,0.17322397395499978,0.24934943821259073,0.0,0.0
Gianluca Mancini,16.70641236024357,14.960966292755437,2.992193258551089,0.8955223880597016,0.2000000000000001,0.0,0.0,0.0
Yussuf Yurary Poulsen,8.929342075630721,5.693332428729609,0.7692401104844747,0.6375981993418549,0.13511245305170427,0.45963535140216055,0.06098388686495028,0.1326788435200061
Karol Świderski,9.254271607258007,6.308916727488689,1.1164776085705164,0.681730231749486,0.17696819545991038,0.859382065198098,0.0,0.0
Jules Koundé,83.6262659256351,69.42254168132203,20.00172493855479,0.8301523559960962,0.2881157107495563,0.47015765428653195,0.2522082862809464,0.5364334367025769
Marvin Schwäbe,13.411400799370897,9.114539179872706,4.7054633016119265,0.6796112737381058,0.5162590459869681,0.0,0.0,0.0
Jonathan Clauss,10.366835148177175,7.578510984219873,1.26647878977595,0.7310341947081526,0.1671144625128917,0.39009246272512765,0.0,0.0
Wendell Nascimento Borges,23.61225252535361,19.098319841012206,5.763431525506748,0.8088309160892388,0.3017768878878137,0.011347089853383561,0.0,0.0
Sergino Dest,41.586534169257,36.97049887291116,6.72572043369292,0.8890016831516039,0.18192127882323375,0.66353730976133,0.05139816438873922,0.07746085055447266
Christopher Wooh,8.513126971929612,8.028408351033471,2.2433276787299223,0.9430622117472925,0.279423713972041,0.0,0.0,0.0
Lilian Brassier,6.825948655051731,5.690865680160581,2.4254279011879256,0.8337105899483874,0.426196652232264,0.1723583569285883,0.0,0.0
Frankie Amaya,6.2617674766327385,5.566015534784657,1.8089550488050148,0.888888888888889,0.32500000000000023,0.1391503883696165,0.0,0.0
Maximiliano Javier Araújo Vilches,25.640833722527546,17.840526335688075,3.0057230254727076,0.6957857349238113,0.1684772617644177,2.7525907587069693,0.4958679589672479,0.1801459070509203
Moon-Hwan Kim,5.188967444346897,4.28295725565141,0.9883747513041713,0.825396825396826,0.23076923076923073,0.0,0.0,0.0
Moise Bombito,69.83117064649325,61.27133118455,26.86346320247353,0.8774209370586701,0.4384344632820274,1.2789204702408867,0.5092460707221892,0.39818431448381764
